"HGNC_Symbol","hiPSC_Neuron","BloodmRNA","DISC1_RNA","gandalMicro","gandalRNAseq","hiPSC_NPC1","MtSinaiACC","MtSinaiDLPFC","MtSinaiMTA","MtSinaiTPA","Stanley","CommonMind_DLPFC","Deep_Neurons","Superficial_Neurons","Superficial_Deep_Neurons","Lewis_2017_L3","Lewis_2017_L5","Lewis_2015_L3","Lewis_2015_L5","barnesAll","barnesFemale","barnesMale","Iwamoto_BA10_SCZ","Iwamoto_BA46_SCZ","MaycoxAll","MaycoxFemale","MaycoxMale","PietersenAllParvalbumin","PietersenAllPyramidal","PietersenFemaleParvalbumin","PietersenFemalePyramidal","PietersenMaleParvalbumin","PietersenMalePyramidal"
"CRK","-0.1, p=0.11145","-0.58, p=0.0948","-0.17, p=0.58226","-0.03, p=0.02209","-0.03, p=0.22704","-0.03, p=0.63452","0.1, p=0.25632","-0.08, p=0.33782","-0.18, p=0.13344","-0.02, p=0.84171","-0.03, p=0.38113","0, p=0.9035","0.08, p=0.44193","0.07, p=0.51327","0.15, p=0.33719","0.1, p=0.72265","-0.16, p=0.60932","-0.22, p=0.13426","-0.61, p=6e-05","0.1, p=0.29127","0.13, p=0.5661","0.06, p=0.49153","-0.02, p=0.4455","-0.14, p=0.10113","0.06, p=0.55601","0.1, p=0.62889","0.05, p=0.62219","-0.38, p=0.45339","-0.82, p=0.19104","-0.29, p=0.75002","-0.51, p=0.25192","-0.47, p=0.49114","-1.21, p=0.23891"
"MSH6","0.12, p=0.11161","0.15, p=0.172","-0.18, p=0.4253","0.04, p=0.09331","0.06, p=0.00373","0.08, p=0.26018","-0.25, p=0.07419","0.3, p=0.50178","-0.13, p=0.19099","-0.14, p=0.0206","0.02, p=0.40087","0, p=0.8298","0.08, p=0.44085","0.08, p=0.43808","0.16, p=0.2965","-0.17, p=0.44088","-0.45, p=0.05356","-0.22, p=0.07539","-0.22, p=0.06999","-0.03, p=0.40185","0.3, p=0.42555","-0.32, p=0.31581","0.03, p=0.41685","0.27, p=0.13197","0.09, p=0.45674","0.06, p=0.43008","0.13, p=0.5025","-0.37, p=0.55791","-0.8, p=0.16802","-0.48, p=0.44338","-0.45, p=0.35077","-0.26, p=0.76212","-1.24, p=0.21172"
"KLHL21","-0.23, p=0.11655","-0.2, p=0.236","0.68, p=0.18491","0.06, p=0.00079","0.05, p=0.00533","0.11, p=0.45741","-0.17, p=0.28261","-0.11, p=0.5118","0.03, p=0.8356","-0.03, p=0.84404","-0.03, p=0.61742","-0.02, p=0.3255","0.04, p=0.57069","0.06, p=0.46772","0.1, p=0.38115","-0.08, p=0.63913","0.04, p=0.81809","0.06, p=0.60156","0.09, p=0.39731","0.05, p=0.7503","0.08, p=0.69623","0.02, p=0.92216","0.09, p=0.4762","0.15, p=0.04344","0.32, p=0.01299","0.44, p=0.01526","0.36, p=0.05513","-0.51, p=0.42716","0.18, p=0.7485","-0.26, p=0.78725","0.29, p=0.69202","-0.77, p=0.44544","0.03, p=0.97521"
"GLRX","-0.24, p=0.11693","-0.03, p=0.833","-1.53, p=0.0414","0, p=0.90254","0.03, p=0.43645","0.13, p=0.41166","-0.12, p=0.58426","-0.25, p=0.2018","-0.21, p=0.27458","-0.37, p=0.12104","-0.06, p=0.20105","-0.07, p=0.01001","0.07, p=0.52089","0.07, p=0.48096","0.14, p=0.3625","-0.15, p=0.24311","-0.24, p=0.08332","0.02, p=0.70286","0.06, p=0.39124","0.19, p=0.33435","-0.07, p=0.72692","0.38, p=0.21862","0.45, p=0.02942","0.11, p=0.54016","0.21, p=0.20114","-0.01, p=0.89266","0.36, p=0.13114","-0.51, p=0.49967","-0.04, p=0.81297","-0.29, p=0.80024","-0.17, p=0.89207","-0.72, p=0.45184","0.13, p=0.81369"
"EBP","0.17, p=0.11848","-0.14, p=0.366","0.35, p=0.18089","-0.08, p=0.00014","-0.1, p=0.03633","-0.1, p=0.32589","0.32, p=0.06919","0.32, p=0.28337","0.15, p=0.25049","-0.07, p=0.53759","-0.05, p=0.10299","-0.03, p=0.1999",NA,NA,NA,"-0.17, p=0.24248","0, p=0.98104","-0.14, p=0.10873","-0.19, p=0.0277","-0.53, p=0.09999","-0.95, p=0.0885","-0.23, p=0.42015","-0.24, p=0.03544","-0.04, p=0.44725","-0.05, p=0.50981","-0.04, p=0.76897","-0.13, p=0.32318","-0.19, p=0.67279","0.32, p=0.29977","-1.04, p=0.32364","0.28, p=0.4447","0.65, p=0.5023","0.36, p=0.4932"
"SYNE2","0.34, p=0.12014","-0.01, p=0.978","-0.2, p=0.47078","-0.06, p=0.01884","0, p=0.99826","0.2, p=0.37303","0.08, p=0.53055","0.87, p=0.31997","0.26, p=0.02934","0.04, p=0.78948","0, p=0.92554","0, p=0.9326","0.02, p=0.66537","0.01, p=0.78977","0.04, p=0.63742","-0.09, p=0.76555","-0.33, p=0.29535","-0.03, p=0.91359","-0.11, p=0.64378","0.06, p=0.52259","0.2, p=0.34922","-0.07, p=0.28391","-0.62, p=0.06458","-0.06, p=0.37103","0, p=0.69696","-0.02, p=0.40598","-0.03, p=0.42502","0.09, p=0.89766","-0.45, p=0.48613","0.17, p=0.70948","-0.32, p=0.59511","0, p=0.72121","-0.6, p=0.2807"
"SLC35F2","-0.64, p=0.12049",NA,NA,"0.08, p=0.00014","0.13, p=2e-04","-0.8, p=0.05776","0.04, p=0.78298","0.59, p=0.19776","-0.1, p=0.52343","-0.14, p=0.37611","0.08, p=0.11071","0.11, p=0.00011","-0.09, p=0.27089","-0.09, p=0.26726","-0.18, p=0.13675","0.18, p=0.52437","0.3, p=0.31808","0.05, p=0.77379","0.09, p=0.58205","0.08, p=0.43731","0.08, p=0.65318","0.09, p=0.56822",NA,"0.01, p=0.8814","0, p=0.97305","-0.06, p=0.59181","0.01, p=0.92241","0.56, p=0.48062","-1.13, p=0.15785","-0.41, p=0.71839","-0.24, p=0.81797","1.52, p=0.153","-2.25, p=0.04457"
"CDKN1A","0.53, p=0.12105","-0.66, p=0.0386","-1.13, p=4e-05","0.03, p=0.53025","0.38, p=1e-04","-0.04, p=0.90292","-0.22, p=0.46986","-0.06, p=0.88564","-0.32, p=0.51548","-0.44, p=0.36054","0.17, p=0.08039","0.01, p=0.8287","0.01, p=0.95415","0, p=0.98405","0, p=0.98043","0.13, p=0.67481","0.47, p=0.15166","-0.15, p=0.30393","0.06, p=0.66232","0.26, p=0.44635","0.11, p=0.80155","0.37, p=0.47888","0.45, p=0.14587","0.1, p=0.792","0.22, p=0.41226","0.15, p=0.62631","0.39, p=0.34824","0.08, p=0.89313","0.84, p=0.17729","0.4, p=0.73016","0.89, p=0.25747","-0.23, p=0.77279","0.77, p=0.45788"
"EPHA3","0.75, p=0.12144",NA,"-0.57, p=0.0183","-0.08, p=0.01251","-0.05, p=0.10226","0.2, p=0.68601","0.1, p=0.74707","-0.19, p=0.42283","0, p=0.99971","0, p=0.98858","-0.02, p=0.40044","0.06, p=0.00203","-0.02, p=0.73512","-0.03, p=0.65001","-0.06, p=0.59109","-0.04, p=0.88359","0, p=0.99025","-0.01, p=0.92609","-0.33, p=0.03871","0.08, p=0.65159","0.2, p=0.3665","0.03, p=0.72347","0.32, p=0.47145","-0.01, p=0.74083","0.17, p=0.4153","0.53, p=0.29306","-0.15, p=0.46944","-0.24, p=0.2927","-0.4, p=0.41521","-0.01, p=0.418","-0.04, p=0.76264","-0.47, p=0.34741","-0.85, p=0.30133"
"ABL1","-0.1, p=0.12254","0.31, p=0.258","0.04, p=0.86709","0, p=0.96082","0, p=0.95006","0.02, p=0.78057","-0.28, p=0.18836","0, p=0.99082","0.03, p=0.82447","-0.13, p=0.40525","0, p=0.98672","-0.01, p=0.5531","-0.01, p=0.89986","-0.01, p=0.86241","-0.02, p=0.83908","-0.1, p=0.67716","-0.48, p=0.06329","0.15, p=0.13977","0.01, p=0.94464","-0.06, p=0.57978","-0.01, p=0.938","-0.1, p=0.57488","-0.09, p=0.32831","0, p=0.97194","0.09, p=0.2798","0.18, p=0.2934","0.06, p=0.55601","0.76, p=0.32881","0.14, p=0.79922","1.66, p=0.15129","0.56, p=0.46282","-0.14, p=0.89087","-0.37, p=0.7068"
"TP53BP1","-0.13, p=0.12312",NA,"-0.32, p=0.12177","-0.03, p=0.03315","-0.03, p=0.03696","0, p=0.95294","0.15, p=0.2624","-0.15, p=0.24076","-0.11, p=0.40285","-0.01, p=0.94582","-0.03, p=0.35084","-0.01, p=0.2123","-0.02, p=0.79455","-0.04, p=0.654","-0.06, p=0.63001","-0.24, p=0.12821","-0.05, p=0.74489","-0.07, p=0.45326","-0.07, p=0.45839","-0.01, p=0.88033","-0.03, p=0.59624","0.02, p=0.53045","0.02, p=0.04715","0, p=0.70807","-0.04, p=0.46624","0.01, p=0.48611","-0.08, p=0.44438","0.71, p=0.21768","-0.05, p=0.78113","0.35, p=0.71718","0.36, p=0.6911","1.08, p=0.18834","-0.56, p=0.48236"
"TCEA2","-0.09, p=0.12551","0.2, p=0.265","0.1, p=0.55658","-0.06, p=0.00031","0, p=0.92384","0.01, p=0.9008","0.12, p=0.38157","-0.11, p=0.35288","0.14, p=0.2799","0.13, p=0.29228","-0.01, p=0.77591","0.03, p=0.01509","0.02, p=0.87631","0.01, p=0.93287","0.02, p=0.87161","0.1, p=0.51266","-0.06, p=0.69662","-0.01, p=0.91163","0.12, p=0.22591","-0.02, p=0.52592","0.06, p=0.67717","-0.04, p=0.51978","0.11, p=0.28465","0, p=0.9852","-0.11, p=0.46194","0.08, p=0.3652","-0.26, p=0.41476","0.31, p=0.52356","0.53, p=0.24177","0.32, p=0.58045","0.51, p=0.26219","0.3, p=0.48864","0.56, p=0.54715"
"STX1A","-0.25, p=0.1264",NA,"0.84, p=0.00136","-0.1, p=2e-05","-0.13, p=0.00438","-0.09, p=0.59023","0.43, p=0.04649","0.02, p=0.93066","0.33, p=0.12626","0.31, p=0.05689","-0.04, p=0.61028","0.05, p=0.00327","0.03, p=0.81931","0.03, p=0.79488","0.06, p=0.74066","-0.18, p=0.24565","-0.14, p=0.39362","-0.09, p=0.35438","-0.03, p=0.74154","-0.03, p=0.86017","-0.27, p=0.25971","0.16, p=0.47545","-0.32, p=0.03204","-0.15, p=0.22619","-0.16, p=0.20956","-0.18, p=0.38462","-0.28, p=0.08619","-0.6, p=0.38319","0.13, p=0.85845","-0.18, p=0.85129","0, p=0.99734","-1.02, p=0.33771","0.3, p=0.76228"
"CISD1","-0.16, p=0.12658","0.04, p=0.699","0.07, p=0.84543","-0.07, p=0.00396","-0.07, p=0.00115","-0.12, p=0.26595","-0.22, p=0.48171","0.32, p=0.05555","0.69, p=0.00514","0.89, p=0.00261","-0.03, p=0.67066","-0.03, p=0.01923","0.18, p=0.29208","0.17, p=0.33163","0.35, p=0.17285","-0.44, p=6e-05","-0.29, p=0.01019","-0.29, p=0","-0.29, p=0","-0.08, p=0.60039","-0.18, p=0.41551","-0.02, p=0.92708",NA,"0.13, p=0.45902","-0.06, p=0.51903","-0.15, p=0.33889","-0.04, p=0.73065","-0.54, p=0.49411","0.23, p=0.76593","0.02, p=0.98835","-0.01, p=0.99404","-1.09, p=0.35993","0.53, p=0.59707"
"COL1A1","1.11, p=0.13227","-0.57, p=0.00601",NA,"-0.02, p=0.36011",NA,"0.45, p=0.55359","0.31, p=0.64406","0.4, p=0.60937","0.13, p=0.8236","-0.23, p=0.54879","0.01, p=0.76986",NA,"0.03, p=0.63983","0.03, p=0.67263","0.06, p=0.54725","0.05, p=0.47931","0.07, p=0.33412","0.3, p=0.01187","0.18, p=0.13669","-0.11, p=0.40257","-0.2, p=0.39895","-0.02, p=0.47908","0.03, p=0.58934","0.08, p=0.45519","-0.39, p=0.1051","-0.24, p=0.57904","-0.5, p=0.1255","-0.1, p=0.74541","-0.31, p=0.4202","-0.2, p=0.43253","0.25, p=0.35051","0.01, p=0.63021","-1.01, p=0.29506"
"KCTD5","-0.16, p=0.13261",NA,"-0.21, p=0.34645","0.02, p=0.19451","0.04, p=0.12534","-0.11, p=0.30849","-0.07, p=0.53333","-0.04, p=0.86417","-0.01, p=0.96083","-0.13, p=0.23115","0.06, p=0.09972","0, p=0.9631","0.02, p=0.78288","0.02, p=0.79918","0.05, p=0.71997","-0.07, p=0.26721","-0.01, p=0.93704","-0.03, p=0.69352","0.18, p=0.02291","-0.13, p=0.33744","-0.02, p=0.43106","-0.22, p=0.41818",NA,"0.15, p=0.07791","0.03, p=0.63057","0.03, p=0.67462","0.07, p=0.80331","0.03, p=0.45333","-0.14, p=0.80031","0.49, p=0.60509","0.17, p=0.82939","-0.43, p=0.45491","-0.53, p=0.5931"
"PTK2","0.07, p=0.13321","0.3, p=0.175","-0.2, p=0.33628","0.02, p=0.41648","0.01, p=0.55229","-0.02, p=0.68206","-0.1, p=0.54341","-0.33, p=0.0081","-0.24, p=0.0842","-0.34, p=0.01412","0, p=0.96747","-0.02, p=0.02638","0.07, p=0.56139","0.06, p=0.63364","0.12, p=0.47531","0.06, p=0.6893","0.1, p=0.55173","-0.02, p=0.83734","0.19, p=0.12388","-0.1, p=0.26211","-0.08, p=0.61693","-0.11, p=0.24948","-0.07, p=0.58019","0.08, p=0.36244","0.04, p=0.58176","0.03, p=0.4931","0.03, p=0.71079","-0.46, p=0.53054","-0.06, p=0.62953","-0.17, p=0.60082","-0.37, p=0.36606","-0.75, p=0.48042","0.33, p=0.31932"
"TERF2IP","-0.17, p=0.13349","-0.17, p=0.277","0.21, p=0.41044","-0.03, p=0.05853","-0.04, p=0.27724","-0.19, p=0.09763","0.11, p=0.39154","-0.12, p=0.21865","0.04, p=0.65645","0.07, p=0.42906","-0.06, p=0.33197","-0.02, p=0.1409","-0.03, p=0.8399","-0.04, p=0.78212","-0.08, p=0.74533","0.12, p=0.04567","0.1, p=0.1462","-0.02, p=0.55369","-0.01, p=0.86122","0.01, p=0.85767","-0.12, p=0.326","0.13, p=0.23917","0.02, p=0.90101","0.07, p=0.26303","-0.04, p=0.45388","-0.07, p=0.55428","-0.04, p=0.53053","-0.08, p=0.92285","0.61, p=0.39812","0.35, p=0.73292","0.73, p=0.44206","-0.51, p=0.68062","0.46, p=0.6634"
"DECR1","-0.19, p=0.13354","-0.13, p=0.44","-2.13, p=0","0.13, p=0","0.05, p=0.26726","-0.06, p=0.63944","-0.27, p=0.10544","0.17, p=0.22123","0.15, p=0.39532","0.06, p=0.74426","0.02, p=0.54383","-0.01, p=0.6744","0.12, p=0.3012","0.11, p=0.34899","0.23, p=0.18453","-0.02, p=0.91442","0.21, p=0.36718","0.02, p=0.85381","0.07, p=0.51578","-0.04, p=0.71033","0.01, p=0.94334","-0.07, p=0.63387","0.08, p=0.67899","0.2, p=0.0583","0.05, p=0.66095","-0.09, p=0.51541","0.23, p=0.11513","-0.62, p=0.41481","0.27, p=0.66674","-0.15, p=0.88692","0.2, p=0.8312","-1.09, p=0.33338","0.37, p=0.70942"
"SNX11","-0.11, p=0.14604","-1.31, p=1e-05","-0.55, p=0.03581","0, p=0.71045","-0.01, p=0.65522","0.03, p=0.69342","0.11, p=0.45918","-0.14, p=0.33675","-0.03, p=0.88412","-0.11, p=0.61934","-0.04, p=0.27906","-0.01, p=0.6198","0.02, p=0.73891","0.02, p=0.73991","0.05, p=0.65256","-0.26, p=0.24184","-0.26, p=0.26683","0.02, p=0.90237","-0.1, p=0.46993","-0.1, p=0.5659","-0.36, p=0.3596","0.09, p=0.71956",NA,"0.01, p=0.80796","0, p=0.36701","0.02, p=0.4253","0.01, p=0.5006","-0.05, p=0.65208","-0.37, p=0.51687","0.35, p=0.63629","-0.52, p=0.48932","-0.46, p=0.26618","-0.18, p=0.8598"
"EBNA1BP2","-0.19, p=0.14608","0.28, p=0.037","0.15, p=0.59233","-0.05, p=0.02097","-0.04, p=0.12254","-0.02, p=0.90409","-0.09, p=0.4504","0.12, p=0.52949","0.07, p=0.57177","0.04, p=0.75999","-0.12, p=0.14827","0, p=0.7291","0.07, p=0.4775","0.08, p=0.45139","0.15, p=0.32275","-0.04, p=0.81167","-0.06, p=0.73996","-0.14, p=0.1441","-0.16, p=0.09938","-0.05, p=0.6923","-0.12, p=0.52074","-0.01, p=0.94152","0.06, p=0.56643","-0.03, p=0.80917","-0.04, p=0.5585","-0.1, p=0.46138","-0.05, p=0.63585","-1.06, p=0.18933","-0.35, p=0.68588","-1.36, p=0.16981","-0.39, p=0.77671","-0.77, p=0.55122","-0.29, p=0.38603"
"BCL7B","-0.13, p=0.14741","-0.35, p=0.044","0.25, p=0.35754","-0.04, p=0.01807","-0.03, p=0.5138","0.1, p=0.27021","0.11, p=0.41938","0.06, p=0.65725","0.07, p=0.44583","0.15, p=0.1105","-0.04, p=0.5048","0.01, p=0.56","0.09, p=0.41168","0.08, p=0.46179","0.17, p=0.29365","-0.27, p=0.20929","0.02, p=0.93537","0.16, p=0.27124","-0.01, p=0.95565","-0.06, p=0.42629","-0.18, p=0.11394","0.03, p=0.78791","-0.06, p=0.5666","0, p=0.96024","-0.01, p=0.9025","-0.07, p=0.53635","0.05, p=0.60419","0.25, p=0.70135","0, p=0.99467","0.2, p=0.84627","0.4, p=0.60349","0.31, p=0.74607","-0.49, p=0.61746"
"FDFT1","0.31, p=0.14826","-0.3, p=0.0629","-0.08, p=0.79283","0, p=0.96763","-0.04, p=0.09519","0.12, p=0.5786","-0.03, p=0.79","-0.01, p=0.93554","0.14, p=0.2054","-0.1, p=0.28365","-0.04, p=0.26688","-0.01, p=0.5561","0, p=0.97437","-0.01, p=0.91217","-0.01, p=0.9565","-0.27, p=0.06664","0.02, p=0.90188","-0.12, p=0.08462","-0.16, p=0.02874","-0.04, p=0.31034","0.03, p=0.39878","-0.11, p=0.37462","-0.1, p=0.38833","-0.02, p=0.22157","0.01, p=0.47761","-0.03, p=0.52688","0, p=0.54972","-0.47, p=0.47095","0.02, p=0.79596","-0.3, p=0.78353","0.13, p=0.52538","-0.65, p=0.42085","-0.11, p=0.64064"
"DNAJB1","-0.32, p=0.14939","0.16, p=0.219","-0.12, p=0.57932","0.09, p=0.09936","0.02, p=0.86948","0.07, p=0.75919","0.27, p=0.5227","0.33, p=0.76951","-0.06, p=0.7837","-0.42, p=0.29417","-0.04, p=0.40653","0, p=0.9099","-0.09, p=0.57242","-0.07, p=0.68126","-0.15, p=0.51059","-0.07, p=0.65237","0.25, p=0.11862","0.25, p=0.07609","0.24, p=0.09285","0.32, p=0.07232","0.36, p=0.13866","0.28, p=0.26808","0.19, p=0.05321","-0.13, p=0.44475","0.31, p=0.04192","0.47, p=0.01681","0.23, p=0.31521","-0.14, p=0.75955","0.19, p=0.36393","0.06, p=0.67285","0.06, p=0.23964","-0.33, p=0.72913","0.36, p=0.72177"
"NPC1","0.15, p=0.15175",NA,"-0.16, p=0.44619","0.05, p=0.32636","0.07, p=0.04982","-0.05, p=0.60515","-0.43, p=0.15797","-0.14, p=0.59475","-0.45, p=0.09913","-0.73, p=0.01116","0.01, p=0.69825","0.02, p=0.2525","-0.06, p=0.52429","-0.07, p=0.43783","-0.13, p=0.33916","0.04, p=0.88417","-0.26, p=0.33899","-0.14, p=0.44013","-0.28, p=0.12106","0, p=0.43251","0.11, p=0.42507","-0.1, p=0.27537","-0.47, p=0.03567","-0.06, p=0.83034","0.07, p=0.53191","-0.05, p=0.23849","0.15, p=0.55765","0.21, p=0.55296","-0.58, p=0.30776","0.72, p=0.47767","-0.22, p=0.66558","-0.29, p=0.48495","-1.04, p=0.23087"
"SNCA","-0.29, p=0.15245","0.26, p=0.417","0.12, p=0.72262","-0.03, p=0.27299","-0.05, p=0.40883","-0.21, p=0.35236","0.46, p=0.09271","-0.1, p=0.60073","0.09, p=0.70252","0.12, p=0.59381","0.02, p=0.50283","0, p=0.7791","0.07, p=0.64534","0.04, p=0.82133","0.11, p=0.64425","0.08, p=0.33354","-0.04, p=0.62814","0.21, p=0.00132","0.16, p=0.01722","0.11, p=0.49127","-0.04, p=0.82641","0.23, p=0.3196","-0.59, p=0.15138","0.01, p=0.27396","-0.08, p=0.53512","-0.13, p=0.62579","-0.11, p=0.43909","-0.34, p=0.6363","0.36, p=0.62351","0.08, p=0.76316","0.28, p=0.71964","-0.77, p=0.48762","0.45, p=0.55458"
"PSME2","-0.16, p=0.1538","0.09, p=0.443","-0.15, p=0.59907",NA,"0.04, p=0.19401","-0.09, p=0.40433","-0.49, p=0.39505","0.28, p=0.66472","0.11, p=0.51415","-0.47, p=0.3879","0.01, p=0.88731","0, p=0.8913","0.12, p=0.13889","0.11, p=0.16016","0.23, p=0.05322","0.21, p=0.49259","0.63, p=0.05492","-0.38, p=0.02151","-0.36, p=0.03026","0.07, p=0.48449","-0.02, p=0.8996","0.15, p=0.31739","0.08, p=0.42821","0.03, p=0.69018","-0.08, p=0.28911","0.05, p=0.64371","-0.14, p=0.18523","-0.04, p=0.95097","-0.22, p=0.72189","-0.29, p=0.76799","0.08, p=0.92491","0.21, p=0.81308","-0.59, p=0.55415"
"PSIP1","0.1, p=0.15402","-0.35, p=0.0732","0.01, p=0.97844","0.03, p=0.07474","-0.03, p=0.05291","0.07, p=0.34577","0.21, p=0.11162","0.12, p=0.64452","-0.07, p=0.44217","0, p=0.97903","0.01, p=0.72279","-0.02, p=0.0429","0.15, p=0.53156","0.13, p=0.60159","0.27, p=0.43847","0.04, p=0.69358","-0.22, p=0.02384","-0.09, p=0.34001","-0.15, p=0.10786","0.15, p=0.19476","0.2, p=0.229","0.11, p=0.44489","0.15, p=0.21628","0.08, p=0.26361","-0.01, p=0.59591","-0.01, p=0.6967","-0.01, p=0.60903","-0.21, p=0.75809","-0.52, p=0.29197","0.36, p=0.56365","0.13, p=0.54729","-0.77, p=0.39533","-1.34, p=0.16695"
"COG2","-0.11, p=0.15562","-0.01, p=0.967","-0.33, p=0.12669","-0.02, p=0.29068","0.01, p=0.72822","0.02, p=0.77113","0.02, p=0.78475","0.03, p=0.86165","-0.09, p=0.3354","-0.08, p=0.31252","0.02, p=0.23371","0, p=0.923","-0.08, p=0.40639","-0.07, p=0.47879","-0.14, p=0.29952","0.38, p=0.08995","0.17, p=0.46145","-0.21, p=0.25411","-0.34, p=0.0648","-0.29, p=0.31935","-0.37, p=0.43521","-0.21, p=0.51574","-0.07, p=0.61505","0.03, p=0.60761","0.12, p=0.56588","0.36, p=0.26504","0, p=0.58366","-1.04, p=0.16405","0.72, p=0.26631","-0.81, p=0.48195","0.94, p=0.31235","-1.27, p=0.16","0.45, p=0.64149"
"RALA","-0.1, p=0.1561","0.09, p=0.448","-0.01, p=0.95155","-0.03, p=0.05087","-0.05, p=0.26653","-0.08, p=0.24242","-0.13, p=0.32472","0.38, p=0.09575","0.08, p=0.54436","0.07, p=0.56737","-0.03, p=0.3512","-0.01, p=0.4769","0.13, p=0.20101","0.14, p=0.16439","0.27, p=0.07292","0.01, p=0.88766","0.06, p=0.42937","-0.02, p=0.77848","-0.04, p=0.51513","-0.07, p=0.19056","-0.05, p=0.62192","-0.1, p=0.24272","0.2, p=0.22333","-0.09, p=0.39192","-0.04, p=0.45086","-0.06, p=0.56938","-0.04, p=0.58453","-0.4, p=0.42771","-0.18, p=0.6437","0.61, p=0.36908","-0.38, p=0.50676","-1.4, p=0.24257","0.06, p=0.95422"
"RPA2","-0.19, p=0.15631","0.05, p=0.731","0.25, p=0.34145","0.01, p=0.55849","-0.03, p=0.2639","0.07, p=0.6103","0.24, p=0.04245","0.18, p=0.41935","0.03, p=0.74368","-0.09, p=0.21747","-0.04, p=0.30506","0, p=0.9459","0.07, p=0.57266","0.08, p=0.56544","0.15, p=0.44125","-0.17, p=0.3527","-0.4, p=0.0424","-0.25, p=0.03573","-0.3, p=0.01223","-0.04, p=0.67427","-0.1, p=0.44769","0.01, p=0.95892","-0.46, p=0.10717","-0.01, p=0.88019","-0.07, p=0.27766","-0.07, p=0.52516","-0.08, p=0.34446","0.1, p=0.85317","0.37, p=0.60958","0.2, p=0.83661","0.03, p=0.97413","0, p=0.82706","0.79, p=0.43239"
"SCP2","-0.12, p=0.15674","0.14, p=0.504","0.18, p=0.63863","0.05, p=0.05239","-0.02, p=0.30145","-0.11, p=0.19346","-0.13, p=0.22953","-0.01, p=0.91775","0.1, p=0.2959","0.05, p=0.45345","-0.03, p=0.34815","-0.01, p=0.3126","-0.03, p=0.66999","-0.04, p=0.65539","-0.07, p=0.5549","-0.31, p=0.0508","-0.38, p=0.02068","-0.29, p=0.02632","-0.36, p=0.0063","0.02, p=0.83787","0.04, p=0.74318","0, p=0.93823","0.03, p=0.79163","0.12, p=0.18149","0, p=0.93506","0.07, p=0.55387","-0.04, p=0.69762","-1, p=0.21584","-0.53, p=0.37166","-0.31, p=0.77268","-0.49, p=0.54847","-1.69, p=0.14074","-0.58, p=0.55147"
"NCK2","0.15, p=0.15697","-0.12, p=0.433","0.01, p=0.94412","0.01, p=0.44738","0, p=0.85462","0.06, p=0.59375","-0.02, p=0.86104","-0.06, p=0.53659","-0.05, p=0.61653","0.12, p=0.1899","-0.01, p=0.49256","0.02, p=0.1287","-0.12, p=0.12721","-0.13, p=0.09808","-0.25, p=0.03327","0.08, p=0.67227","0, p=0.97972","-0.01, p=0.95473","-0.08, p=0.48876","0.06, p=0.62169","-0.04, p=0.78437","0.14, p=0.41342","-0.32, p=0.3305","-0.04, p=0.54675","0.07, p=0.31836","0.05, p=0.68309","0.12, p=0.1884","-0.1, p=0.88573","0.06, p=0.93053","0.37, p=0.72391","0.01, p=0.9949","-0.58, p=0.58614","0.12, p=0.90595"
"CDK6","-0.2, p=0.15825","0.58, p=0.0129","-0.06, p=0.79266","0.03, p=0.38214","0.04, p=0.12144","0.06, p=0.69982","-0.25, p=0.07223","0.39, p=0.29998","-0.15, p=0.28724","-0.4, p=0.02306","0.02, p=0.33294","0.03, p=0.08385","0.06, p=0.39613","0.08, p=0.30807","0.14, p=0.20714","0.42, p=0.34749","0.47, p=0.31664","0.69, p=0.0088","0.13, p=0.6276","-0.09, p=0.84878","-0.22, p=0.30745","0.28, p=0.23799","0.04, p=0.65411","-0.17, p=0.58285","-0.07, p=0.51146","-0.15, p=0.36787","-0.05, p=0.63395","-0.13, p=0.73561","-0.2, p=0.7419","0.08, p=0.67683","0.17, p=0.56806","-0.33, p=0.64512","-0.67, p=0.46611"
"CDC42","-0.08, p=0.15933","-0.03, p=0.887","-0.1, p=0.60508","-0.05, p=0.06101","-0.09, p=2e-05","-0.1, p=0.08895","-0.22, p=0.2915","0.04, p=0.75913","0.06, p=0.68901","0.23, p=0.0347","-0.02, p=0.42271","-0.02, p=0.1602","-0.11, p=0.35121","-0.13, p=0.29597","-0.24, p=0.18223","-0.23, p=0.01795","-0.21, p=0.03651","-0.19, p=0.00346","-0.24, p=0.00026","-0.02, p=0.33125","-0.15, p=0.4937","0.08, p=0.44241","-0.16, p=0.28148","-0.07, p=0.47593","-0.09, p=0.41198","-0.25, p=0.29687","-0.04, p=0.66994","-0.54, p=0.43513","0.17, p=0.48389","-0.39, p=0.53741","0.3, p=0.62568","-0.7, p=0.49648","0.01, p=0.52377"
